Date,effected-khulna,Rainfall,Humidity,Temparature,Sunshine,Temp-min
01-01-22,0.0,0.0,79.66666666666667,17.983333333333334,6.933333333333334,13.883333333333333
02-01-22,0.0,0.0,87.83333333333333,16.28333333333333,3.566666666666667,13.35
03-01-22,0.0,0.0,81.33333333333333,17.2,7.083333333333333,12.450000000000001
04-01-22,0.0,0.0,82.66666666666667,16.133333333333333,6.433333333333334,11.466666666666667
05-01-22,0.0,0.0,82.33333333333333,16.216666666666665,6.183333333333333,11.716666666666667
06-01-22,0.0,0.0,81.5,17.266666666666666,7.083333333333333,11.783333333333333
07-01-22,0.0,0.0,79.33333333333333,18.716666666666665,7.749999999999999,12.66666666666667
08-01-22,0.0,0.0,78.0,19.5,8.016666666666667,13.716666666666667
09-01-22,0.0,0.0,78.5,19.916666666666668,8.316666666666666,14.166666666666666
10-01-22,0.0,0.0,80.0,20.383333333333336,5.716666666666668,14.75
11-01-22,0.0,0.0,80.16666666666667,21.133333333333333,4.0,16.616666666666664
12-01-22,0.0,4.5,86.5,19.25,0.016666666666666666,17.366666666666664
13-01-22,0.0,0.5,85.33333333333333,19.45,4.3999999999999995,15.966666666666667
14-01-22,0.0,0.0,82.66666666666667,18.516666666666666,0.13333333333333333,16.516666666666666
15-01-22,0.0,0.0,80.16666666666667,18.066666666666666,3.266666666666667,15.700000000000001
16-01-22,0.0,0.16666666666666666,73.83333333333333,16.816666666666666,8.383333333333333,13.583333333333334
17-01-22,0.0,0.0,77.66666666666667,17.083333333333336,8.200000000000001,11.683333333333335
18-01-22,0.0,0.0,79.0,17.250000000000004,7.25,11.6
19-01-22,0.0,0.0,81.66666666666667,16.816666666666666,7.366666666666667,12.483333333333334
20-01-22,0.0,0.0,80.0,16.433333333333334,7.166666666666667,12.033333333333333
21-01-22,0.0,0.0,80.0,17.98333333333333,4.633333333333334,12.316666666666665
22-01-22,0.0,0.0,88.5,18.05,0.06666666666666667,14.466666666666667
23-01-22,1.0,0.3333333333333333,88.83333333333333,18.266666666666662,0.5666666666666668,14.466666666666667
24-01-22,0.0,5.0,87.33333333333333,18.333333333333332,2.4499999999999997,15.466666666666667
25-01-22,0.0,0.0,82.5,20.316666666666666,5.183333333333334,15.166666666666666
26-01-22,0.0,0.0,82.83333333333333,19.916666666666664,2.233333333333333,16.23333333333333
27-01-22,0.0,1.3333333333333333,72.83333333333333,17.400000000000002,7.483333333333334,15.566666666666668
28-01-22,0.0,0.0,71.0,15.35,7.933333333333334,10.866666666666667
29-01-22,0.0,0.0,76.66666666666667,14.816666666666668,7.666666666666665,10.066666666666668
30-01-22,0.0,0.0,75.83333333333333,15.883333333333335,7.8999999999999995,10.033333333333333
31-01-22,0.0,0.0,72.5,17.96666666666667,7.916666666666665,10.65
01-02-22,0.0,0.0,77.66666666666667,19.316666666666666,7.433333333333334,13.283333333333333
02-02-22,0.0,0.0,76.0,20.133333333333336,7.45,13.450000000000001
03-02-22,0.0,0.0,83.5,21.45,4.0,16.26666666666667
04-02-22,0.0,0.5,93.0,17.53333333333333,0.6000000000000001,17.683333333333334
05-02-22,0.0,32.833333333333336,76.66666666666667,17.400000000000002,7.216666666666666,14.933333333333335
06-02-22,0.0,0.0,76.0,16.566666666666666,8.883333333333333,10.716666666666667
07-02-22,0.0,0.0,78.0,17.05,8.3,11.616666666666667
08-02-22,0.0,0.0,77.33333333333333,18.366666666666664,8.116666666666667,11.9
09-02-22,0.0,0.0,80.16666666666667,19.95,6.45,13.666666666666666
10-02-22,0.0,0.3333333333333333,89.16666666666667,18.916666666666668,0.6,16.5
11-02-22,0.0,0.5,83.66666666666667,18.666666666666668,3.783333333333333,15.166666666666664
12-02-22,0.0,0.0,70.33333333333333,17.666666666666664,8.933333333333334,11.966666666666667
13-02-22,0.0,0.0,69.33333333333333,18.333333333333332,9.216666666666667,11.383333333333333
14-02-22,0.0,0.0,70.0,18.61666666666667,9.216666666666667,11.833333333333334
15-02-22,1.0,0.0,69.5,18.583333333333332,9.450000000000001,12.133333333333333
16-02-22,0.0,0.0,70.5,18.46666666666667,9.033333333333333,11.783333333333333
17-02-22,0.0,0.0,73.33333333333333,19.433333333333334,8.8,12.333333333333334
18-02-22,0.0,0.0,68.83333333333333,19.733333333333334,9.116666666666665,13.299999999999999
19-02-22,0.0,0.0,65.83333333333333,19.900000000000002,9.016666666666667,12.683333333333332
20-02-22,0.0,0.0,81.0,19.96666666666667,4.233333333333333,13.683333333333332
21-02-22,0.0,4.5,75.16666666666667,20.500000000000004,6.766666666666666,14.85
22-02-22,0.0,0.0,75.33333333333333,22.166666666666668,6.816666666666667,15.983333333333333
23-02-22,0.0,1.0,80.0,22.349999999999998,6.733333333333334,17.26666666666667
24-02-22,0.0,0.0,75.66666666666667,23.083333333333332,6.916666666666667,17.2
25-02-22,0.0,4.666666666666667,75.66666666666667,23.05,6.366666666666667,18.599999999999998
26-02-22,0.0,0.0,74.5,23.71666666666667,8.75,18.2
27-02-22,0.0,0.0,77.33333333333333,22.78333333333333,7.1499999999999995,17.9
28-02-22,0.0,9.666666666666666,79.0,23.583333333333332,8.033333333333333,17.883333333333333
01-03-22,0.0,0.0,70.5,23.483333333333334,8.383333333333333,18.283333333333335
02-03-22,0.0,0.0,69.0,23.433333333333334,8.483333333333333,18.066666666666666
03-03-22,0.0,0.0,71.83333333333333,23.383333333333336,9.033333333333333,17.349999999999998
04-03-22,0.0,0.0,68.0,23.849999999999998,8.933333333333334,17.466666666666665
05-03-22,0.0,0.0,69.66666666666667,24.666666666666668,8.566666666666666,17.766666666666666
06-03-22,0.0,0.0,65.83333333333333,24.233333333333334,9.116666666666665,18.349999999999998
07-03-22,0.0,0.0,69.16666666666667,24.400000000000002,9.083333333333334,17.3
